Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Bulding Number,Borough,Postcode,Business Address,Latitude,Longitude
both,Shanghai Red,127-129,Bronx,10461,"127-129 WESTCHESTER AVE, Bronx, NY",40.840252,-73.842499
both,Hide-Chan Ramen,314,Manhattan,10019,"314 W. 53rd Street, Manhattan, NY",40.764462,-73.985448
both,The Orchard Townhouse,242,Manhattan,10001,"242 10th avenue , Manhattan, NY",40.748444,-74.003613
both,Whiskey Rebel,129,Manhattan,10016,"129   Lexington Ave, Manhattan, NY",40.743025,-73.982169
sidewalk,Eleven b,174,Manhattan,10009,"174  Avenue B, Manhattan, NY",40.727382,-73.979543
sidewalk,La Puerta Roja,1120,Brooklyn,11218,"1120   Cortelyou Rd, Brooklyn, NY",40.639758,-73.967658
sidewalk,The morris park inn,1024,Bronx,10461,"1024  Morris Park Avenue, Bronx, NY",40.848525,-73.855297
sidewalk,LUCIEN,14,Manhattan,10009,"14  1st Avenie, Manhattan, NY",,
sidewalk,Hanoi House,119,Manhattan,10009,"119 St Marks Place, Manhattan, NY",40.727268,-73.984497
both,Mudville 9,126,Manhattan,10007,"126 Chambers Street, Manhattan, NY",40.715307,-74.008791
both,Shuko,47,Manhattan,10003,"47 12 street, Manhattan, NY",,
both,Bar Great Harry,280,Brooklyn,11231,"280 Smith Street, Brooklyn, NY",40.682375,-73.993427
both,Ganey Orly,65-37,Queens,11374,"65-37  99TH STREET , Queens, NY",40.728605,-73.855034
roadway,Bearded Lady,686A,Brooklyn,11238,"686A Washington Avenue, Brooklyn, NY",40.67738,-73.963692
sidewalk,HasenStuble,1184,Brooklyn,11225,"1184 Nostrand Ave, Brooklyn, NY",40.658436,-73.950399
both,Down the Road Pub,683,Manhattan,10036,"683  9th ave, Manhattan, NY",40.761707,-73.990257
sidewalk,eden wok,43,Manhattan,10016,"43  east 34, Manhattan, NY",,
roadway,MADRE Restauant,214,Brooklyn,11222,"214 franklin street, Brooklyn, NY",40.732967,-73.95809
both,Frame Gourmet Eatery,424,Manhattan,10001,"424 West 33rd Street, Manhattan, NY",40.753099,-73.997704
both,Cemitas El Tigre,45-14,Queens,11377,"45-14 48th Avenue, Queens, NY",40.739384,-73.920164
sidewalk,718 Bistro,350,Brooklyn,11235,"350 Neptune Ave, Brooklyn, NY",40.58075,-73.965609
sidewalk,Ollies Sichuan,411,Manhattan,10036,"411 West 42nd St, Manhattan, NY",40.758679,-73.993203
sidewalk,BUBBYS,120,Manhattan,10013,"120 HUDSON ST, Manhattan, NY",40.719855,-74.00859
both,Judge Roy Bean,38,Manhattan,10019,"38 W 56th Street, Manhattan, NY",40.762844,-73.975796
both,Roman's,243,Brooklyn,11205,"243 Dekalb Ave, Brooklyn, NY",40.689491,-73.969498
both,Rezdôra,27,Manhattan,10003,"27 East 20th Street, Manhattan, NY",40.738977,-73.989275
